Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_Type,year,avg_payment,avg_charge,total_srvcs,total_benes,charge_to_payment_ratio
MA,Family Practice,2023,59.95,198.91,1103656.5,739234,3.32
MA,Internal Medicine,2022,63.87,224.68,4010116.0,2528484,3.52
MA,Internal Medicine,2023,66.29,240.46,3801909.0,2399858,3.63
MD,Cardiology,2022,107.26,357.55,1598763.9,1087127,3.33
MD,Cardiology,2023,103.4,357.54,1640341.7,1082341,3.46
MD,Family Practice,2022,61.77,158.95,1527405.0,986993,2.57
MD,Family Practice,2023,63.17,169.96,1415830.0,947862,2.69
MD,Internal Medicine,2022,74.46,214.9,4277062.2,1979108,2.89
MD,Internal Medicine,2023,74.6,213.93,4442294.0,1898178,2.87
ME,Cardiology,2022,55.07,238.75,135366.0,115922,4.34
ME,Cardiology,2023,53.85,238.07,125114.0,108189,4.42
ME,Family Practice,2022,48.38,148.38,208617.0,138527,3.07
ME,Family Practice,2023,51.01,163.69,194473.2,130092,3.21
ME,Internal Medicine,2022,57.88,198.19,296880.0,166365,3.42
ME,Internal Medicine,2023,58.47,207.83,310839.0,157997,3.55
MI,Cardiology,2022,83.34,270.65,1400490.2,969741,3.25
MI,Cardiology,2023,79.69,274.84,1336192.0,936494,3.45
MI,Family Practice,2022,53.01,136.32,2184604.7,1285148,2.57
MI,Family Practice,2023,55.02,143.16,2110332.1,1196269,2.6
MI,Internal Medicine,2022,67.89,191.61,3617322.4,1827424,2.82
MI,Internal Medicine,2023,69.15,198.38,3477612.1,1706843,2.87
MN,Cardiology,2022,68.57,393.73,514692.0,410761,5.74
MN,Cardiology,2023,67.48,409.98,542664.0,395422,6.08
MN,Family Practice,2022,45.4,158.72,1513273.0,1008821,3.5
MN,Family Practice,2023,48.48,172.43,1400755.0,923745,3.56
MN,Internal Medicine,2022,60.23,245.86,1585163.0,797473,4.08
MN,Internal Medicine,2023,61.95,259.7,1646444.0,782329,4.19
MO,Cardiology,2022,72.41,311.94,914433.0,659986,4.31
MO,Cardiology,2023,64.62,293.98,865026.0,636989,4.55
MO,Family Practice,2022,51.23,154.22,1396550.5,840009,3.01
MO,Family Practice,2023,54.8,163.93,1295551.0,785860,2.99
MO,Internal Medicine,2022,65.4,208.38,2322107.0,993867,3.19
MO,Internal Medicine,2023,67.71,214.89,2186025.0,941412,3.17
MP,Family Practice,2022,85.44,270.72,4219.0,1465,3.17
MP,Family Practice,2023,82.15,257.21,4746.0,1678,3.13
MP,Internal Medicine,2022,61.21,162.85,1642.0,878,2.66
MP,Internal Medicine,2023,57.82,158.94,1763.0,945,2.75
MS,Cardiology,2022,83.04,430.84,646936.3,360969,5.19
MS,Cardiology,2023,87.41,457.72,694645.0,347573,5.24
MS,Family Practice,2022,42.53,127.88,1698841.9,914770,3.01
MS,Family Practice,2023,42.53,127.61,1552695.0,853809,3.0
MS,Internal Medicine,2022,55.72,189.95,1640262.0,746412,3.41
MS,Internal Medicine,2023,56.95,194.76,1653313.0,713078,3.42
MT,Cardiology,2022,66.18,248.1,121827.0,95298,3.75
MT,Cardiology,2023,65.57,269.54,112895.5,91200,4.11
MT,Family Practice,2022,56.33,173.63,233999.0,159683,3.08
MT,Family Practice,2023,61.94,182.49,244661.0,156930,2.95
MT,Internal Medicine,2022,67.5,238.04,192122.0,125628,3.53
MT,Internal Medicine,2023,68.63,244.14,186856.0,126034,3.56
